Date,Open,High,Low,Close,Adj Close,Volume
31-08-23,"₹ 19,375.55","₹ 19,388.20","₹ 19,223.65","₹ 19,253.80","₹ 19,253.80",562600
01-09-23,"₹ 19,258.15","₹ 19,458.55","₹ 19,255.70","₹ 19,435.30","₹ 19,435.30",333000
04-09-23,"₹ 19,525.05","₹ 19,545.15","₹ 19,432.85","₹ 19,528.80","₹ 19,528.80",296800
05-09-23,"₹ 19,564.65","₹ 19,587.05","₹ 19,525.75","₹ 19,574.90","₹ 19,574.90",256800
06-09-23,"₹ 19,581.20","₹ 19,636.45","₹ 19,491.50","₹ 19,611.05","₹ 19,611.05",287600
07-09-23,"₹ 19,598.65","₹ 19,737.00","₹ 19,550.05","₹ 19,727.05","₹ 19,727.05",304900
08-09-23,"₹ 19,774.80","₹ 19,867.15","₹ 19,727.05","₹ 19,819.95","₹ 19,819.95",288100
11-09-23,"₹ 19,890.00","₹ 20,008.15","₹ 19,865.35","₹ 19,996.35","₹ 19,996.35",248800
12-09-23,"₹ 20,110.15","₹ 20,110.35","₹ 19,914.65","₹ 19,993.20","₹ 19,993.20",328100
13-09-23,"₹ 19,989.50","₹ 20,096.90","₹ 19,944.10","₹ 20,070.00","₹ 20,070.00",251400
14-09-23,"₹ 20,127.95","₹ 20,167.65","₹ 20,043.45","₹ 20,103.10","₹ 20,103.10",275100
15-09-23,"₹ 20,156.45","₹ 20,222.45","₹ 20,129.70","₹ 20,192.35","₹ 20,192.35",438200
18-09-23,"₹ 20,155.95","₹ 20,195.35","₹ 20,115.70","₹ 20,133.30","₹ 20,133.30",264900
20-09-23,"₹ 19,980.75","₹ 20,050.65","₹ 19,878.85","₹ 19,901.40","₹ 19,901.40",378100
21-09-23,"₹ 19,840.55","₹ 19,848.75","₹ 19,709.95","₹ 19,742.35","₹ 19,742.35",275100
22-09-23,"₹ 19,744.85","₹ 19,798.65","₹ 19,657.50","₹ 19,674.25","₹ 19,674.25",246400
25-09-23,"₹ 19,678.20","₹ 19,734.15","₹ 19,601.55","₹ 19,674.55","₹ 19,674.55",188400
26-09-23,"₹ 19,682.80","₹ 19,699.35","₹ 19,637.45","₹ 19,664.70","₹ 19,664.70",204900
27-09-23,"₹ 19,637.05","₹ 19,730.70","₹ 19,554.00","₹ 19,716.45","₹ 19,716.45",203600
28-09-23,"₹ 19,761.80","₹ 19,766.65","₹ 19,492.10","₹ 19,523.55","₹ 19,523.55",352800
29-09-23,"₹ 19,581.20","₹ 19,726.25","₹ 19,551.05","₹ 19,638.30","₹ 19,638.30",243500
