Date,Open,High,Low,Close,Adj Close,Volume
19-06-23,"₹ 44,015.30","₹ 44,040.35","₹ 43,501.40","₹ 43,633.75","₹ 43,633.75",234900
20-06-23,"₹ 43,597.55","₹ 43,823.95","₹ 43,345.95","₹ 43,766.50","₹ 43,766.50",161900
21-06-23,"₹ 43,894.40","₹ 43,946.70","₹ 43,698.95","₹ 43,859.20","₹ 43,859.20",180000
22-06-23,"₹ 43,874.80","₹ 44,042.15","₹ 43,663.35","₹ 43,724.85","₹ 43,724.85",263800
23-06-23,"₹ 43,641.60","₹ 43,824.10","₹ 43,519.55","₹ 43,622.90","₹ 43,622.90",161300
26-06-23,"₹ 43,714.75","₹ 43,773.10","₹ 43,541.75","₹ 43,641.05","₹ 43,641.05",120700
27-06-23,"₹ 43,804.55","₹ 44,194.65","₹ 43,693.15","₹ 44,121.50","₹ 44,121.50",137300
28-06-23,"₹ 44,419.50","₹ 44,508.40","₹ 44,163.20","₹ 44,327.80","₹ 44,327.80",243800
30-06-23,"₹ 44,666.00","₹ 44,787.10","₹ 44,447.20","₹ 44,747.35","₹ 44,747.35",191300
03-07-23,"₹ 44,957.95","₹ 45,353.20","₹ 44,882.10","₹ 45,158.10","₹ 45,158.10",228200
04-07-23,"₹ 45,310.55","₹ 45,655.50","₹ 45,000.25","₹ 45,301.45","₹ 45,301.45",463000
05-07-23,"₹ 45,169.70","₹ 45,418.90","₹ 45,073.40","₹ 45,151.80","₹ 45,151.80",366300
06-07-23,"₹ 45,060.55","₹ 45,417.50","₹ 45,042.60","₹ 45,339.90","₹ 45,339.90",244900
07-07-23,"₹ 45,118.05","₹ 45,227.25","₹ 44,844.80","₹ 44,925.00","₹ 44,925.00",220900
10-07-23,"₹ 44,958.65","₹ 45,184.30","₹ 44,721.90","₹ 44,860.85","₹ 44,860.85",220900
11-07-23,"₹ 44,998.00","₹ 45,139.55","₹ 44,663.05","₹ 44,745.05","₹ 44,745.05",209000
12-07-23,"₹ 44,872.60","₹ 44,937.25","₹ 44,562.40","₹ 44,639.45","₹ 44,639.45",233100
13-07-23,"₹ 45,009.30","₹ 45,085.15","₹ 44,612.20","₹ 44,665.05","₹ 44,665.05",336800
14-07-23,"₹ 44,860.65","₹ 44,923.85","₹ 44,547.80","₹ 44,819.30","₹ 44,819.30",196300
17-07-23,"₹ 44,951.20","₹ 45,556.45","₹ 44,695.05","₹ 45,449.75","₹ 45,449.75",245900
18-07-23,"₹ 45,754.80","₹ 45,905.85","₹ 45,281.30","₹ 45,410.85","₹ 45,410.85",307300
19-07-23,"₹ 45,622.50","₹ 45,707.40","₹ 45,433.00","₹ 45,669.30","₹ 45,669.30",261100
20-07-23,"₹ 45,689.05","₹ 46,256.20","₹ 45,640.95","₹ 46,186.90","₹ 46,186.90",315200
21-07-23,"₹ 46,063.95","₹ 46,369.50","₹ 45,925.90","₹ 46,075.20","₹ 46,075.20",235600
24-07-23,"₹ 46,131.90","₹ 46,191.50","₹ 45,858.75","₹ 45,923.05","₹ 45,923.05",225800
25-07-23,"₹ 46,154.70","₹ 46,156.10","₹ 45,622.85","₹ 45,845.00","₹ 45,845.00",228100
26-07-23,"₹ 45,935.15","₹ 46,096.60","₹ 45,804.70","₹ 46,062.35","₹ 46,062.35",298400
27-07-23,"₹ 46,285.85","₹ 46,310.10","₹ 45,570.65","₹ 45,679.30","₹ 45,679.30",320400
28-07-23,"₹ 45,560.90","₹ 45,727.75","₹ 45,238.80","₹ 45,468.10","₹ 45,468.10",194700
31-07-23,"₹ 45,546.35","₹ 45,694.90","₹ 45,359.75","₹ 45,651.10","₹ 45,651.10",247900
